MB;MATERIAL;KGS_TENIDOS;KILOS_ACABADOS;VALOR_LOTE_KILO;AR;TAMANO_CLIENTE
1;HCMIX;40;37.9;0.147;A;3662.597
1;HCMIX;70;67.7;0.427;A;3662.597
1;HCMIX;40;37.7;0.337;A;3662.597
1;HCMIX;300;285.7;0.514;A;3662.597
1;HCMIX;300;281.2;0.514;A;3662.597
1;HCMIX;300;279.6;0.514;A;3662.597
1;HCMIX;300;282;0.514;A;3662.597
1;HCMIX;300;282.4;0.514;A;3662.597
1;HCMIX;160;150.8;0.335;A;3662.597
1;HCMIX;300;279.2;0.52;A;3662.597
1;HCMIX;220;207.3;0.705;A;3662.597
1;HCMIX;250;234.5;0.626;A;3662.597
1;HCMIX;90;85.7;0.335;A;3662.597
1;HCMIX;70;66.8;0.425;A;3662.597
1;HCMIX;40;38.3;0.349;A;3662.597
1;HCMIX;70;66.8;0.419;A;3662.597
1;HCMIX;140;133.6;0.246;A;3662.597
1;HCMIX;40;37.8;0.532;A;3662.597
1;HCMIX;170;164;0.323;A;3662.597
1;HCMIX;300;283.6;0.543;A;3662.597
1;HCMIX;300;278.2;0.533;A;3662.597
1;HCMIX;300;282.2;0.533;A;3662.597
1;HCMIX;300;284;0.528;A;3662.597
1;HCMIX;300;281.7;0.528;A;3662.597
1;HCMIX;240;224.8;0.648;A;3662.597
1;HCP;30;29;0.893;A;3662.597
1;HCP;20;18.6;0.774;A;3662.597
1;HCP;20;18.5;0.534;A;3662.597
1;HCP;20;19.4;1.065;A;3662.597
1;HCP;20;18.6;0.834;A;3662.597
1;HCP;20;18.9;1.077;A;3662.597
1;HCP;20;19.3;1.177;A;3662.597
1;HCP;20;18.6;1.15;A;3662.597
1;HCP;20;19.2;1.167;A;3662.597
1;HCP;20;19.1;1.062;A;3662.597
1;HCP;20;18.4;1.073;A;3662.597
1;HCP;10;9.7;1.062;A;3662.597
1;HCP;20;18.4;1.085;A;3662.597
1;HCP;20;19.3;1.192;A;3662.597
1;HCP;20;0;1.182;R;3662.597
1;HCP;20;19.5;1.069;A;3662.597
1;HCP;20;21;1.185;A;3662.597
1;HCP;20;19.3;1.059;A;3662.597
1;HCP;20;19.3;1.084;A;3662.597
1;HCP;20;18.4;1.084;A;3662.597
1;HCP;20;18.7;0.914;A;3662.597
1;HCP;10;9.3;1.378;A;3662.597
1;HCP;10;9.4;1.378;A;3662.597
1;HCP;20;18;1.026;A;3662.597
1;HCP;40;38.5;0.7;A;3662.597
1;HCP;20;19.2;0.865;A;3662.597
1;HCP;20;18.2;0.964;A;3662.597
1;HCP;20;19.1;1.167;A;3662.597
1;HCP;20;18.1;0.809;A;3662.597
1;HCP;20;19.1;0.918;A;3662.597
1;HCP;20;19;1.343;A;3662.597
1;HCP;20;19.4;1.436;A;3662.597
1;HCP;20;18.3;1.446;A;3662.597
1;HCP;20;19.3;1.287;A;3662.597
1;HCP;20;19.3;1.307;A;3662.597
1;HCP;20;18.3;1.063;A;3662.597
1;HCP;20;0;1.397;R;3662.597
1;HCP;20;19.5;0.179;A;0.851
1;HCP;58;58.5;0.222;A;4.009
1;HCP;120;117.7;0.124;A;3662.597
1;HCP;113;112.8;0.136;A;0.851
1;HCP;40;41.1;0.135;A;0.851
1;HCP;180;175.4;0.373;A;3662.597
1;HCP;40;40.1;0.551;A;4.009
1;HCP;60;63.7;0.76;A;4.009
1;HCP;40;38.8;0.433;A;8.399
1;HCP;20;19;0.52;A;8.399
1;HCP;20;19;0.676;A;8.399
1;HCP;20;18.8;1.196;A;8.399
1;HCP;20;18.8;0.704;A;8.399
1;HCP;20;19.2;1.179;A;8.399
1;HCP;20;18.6;0.981;A;8.399
1;HCP;20;19.4;0.695;A;8.399
1;HCP;20;19;1.007;A;8.399
1;HCP;20;19;1.008;A;8.399
1;HCP;40;39.1;0.143;A;3662.597
1;HCP;40;37.8;0.143;A;3662.597
1;HCP;40;38.6;0.143;A;3662.597
1;HCP;40;39;0.143;A;3662.597
1;HCP;180;169.7;0.355;A;3662.597
1;HCP;100;95.6;0.601;A;3662.597
1;HCP;180;170.6;0.355;A;3662.597
1;HCP;140;133.5;0.443;A;3662.597
1;HCP;10;0;0.732;A;4.883
1;HCP;20;19.2;0.976;A;3662.597
1;HCP;20;18.9;1.023;A;3662.597
1;HCP;20;18.8;0.956;A;3662.597
1;HCP;20;18.7;0.777;A;3662.597
1;HCP;20;19.2;1.056;A;15.34
1;HCP;40;0;1.036;A;52.98
1;HCP;20;0;0.764;A;52.98
1;HCP;20;19;0.877;A;15.34
1;HCP;20;0;1.196;A;52.98
1;HCP;20;18.8;1.344;A;15.34
1;HCP;20;19.1;1.145;A;3662.597
1;HCP;20;18.7;1.214;A;3662.597
1;HCP;20;19;1.114;A;3662.597
1;HCP;20;18.5;1.133;A;3662.597
1;HCP;40;38.2;1.025;A;3662.597
