fecha;Harina_pescado;Azucar;Cafe;Cobre;Estano;Oro;Plata;Plomo;Zinc;Niquel;Petroleo;Trigo;Maiz;Aceite_soya;Fr_soya;Harina_soya
Ene-17;1490;648.7803536;3686.159087;260.5450037;939.6219551;1191.093182;16.85704545;101.22223;122.8173504;452.282622;52.55409091;163.2923892;132.7068292;760.0436489;366.6020193;369.3215311
Feb-17;1352.5;673.4681185;3651.461333;269.4752581;882.0772683;1234.3575;17.9395;104.8478763;129.0719768;482.7719672;53.4655;170.6929065;135.8008167;710.2081545;365.2141091;368.3924401
Mar-17;1300;660.3228165;3514.446433;264.2007923;901.52371;1231.093478;17.61956522;103.4609684;125.9571778;462.8757295;49.32782609;167.6791235;132.2088908;693.2963027;350.7107276;354.319599
Abr-17;1300;632.9912472;3439.266406;257.709072;901.6866335;1267.48;18.0555;100.8120382;118.5905912;436.2594716;51.1855;148.554821;131.8639906;659.8876432;332.1815135;335.952993
May-17;1300;626.3716281;3331.491512;254.2863478;916.5622692;1246.808696;16.76869565;96.6654644;117.6263622;415.5330119;48.52434783;159.3239232;133.4070552;697.4084031;335.8055616;338.9386819
Jun-17;1279.545455;613.0855091;3176.841156;259.4440113;891.7100239;1260.256818;16.93113636;96.74815985;116.7273574;405.1378805;45.17772727;168.0523698;133.9773504;701.0299097;326.5680767;331.5201268
Jul-17;1250;590.0934902;3338.942954;271.4804334;917.3214495;1236.221429;16.15;102.9589881;126.4248334;430.5223381;46.57238095;190.8048388;132.9522418;739.2939507;349.5201705;359.1605829
Ago-17;1303.26087;552.7564032;3408.174038;294.5042139;930.6867412;1282.445652;16.95173913;106.4295332;135.3504841;495.0181723;48.03695652;159.164168;125.1397204;747.8655052;334.8789811;332.8980159
Set-17;1375;593.0329871;3296.425232;298.3352616;943.3187722;1314.978571;17.4447619;107.7006483;141.3782618;508.7394824;49.70285714;160.7449843;119.923222;758.600146;339.3019197;336.0947187
Oct-17;1375;597.1420792;3155.29598;308.7876449;924.2439367;1279.513636;16.94136364;113.3171675;148.0798682;514.1820017;51.57772727;166.5826214;121.4510855;733.1071688;341.4492794;345.6407347
Nov-17;1392.045455;601.3809672;3176.841156;309.6468932;887.1143085;1282.284091;16.98477273;111.6486692;146.4788933;543.0407854;56.66318182;170.5075178;119.930039;747.8180143;344.0046374;345.4092493
Dic-17;1504.761905;593.1484673;3131.34099;311.0650075;883.880892;1263.904762;16.17690476;113.7004874;145.2651165;523.9035073;57.89904762;168.0587324;122.079103;723.6936211;339.7743388;359.3755336
Ene-18;1576.086957;586.6788356;3166.863714;320.780031;937.6109273;1330.136957;17.12;117.0164777;155.8996976;583.2266042;63.58043478;188.0798705;125.3108867;722.4164919;339.9432229;350.1611696
Feb-18;1600;566.0368582;3152.941043;317.810628;982.0977879;1331.525;16.59;117.0750256;160.2496484;616.6985163;62.2125;202.7334219;131.3522032;689.109916;354.576805;408.1307629
